"SKU_","Description","Price_EX","AvailableStock","Category_Code","Category_Description","Group","Brand"
"M3000W","CUDY MESH KIT AX3000 GIGABIT 2PK WH",1628.5700,0.00,"NC","NETWORK DEVICES","","CUDY"
"M360","MEETION USB WIRED MOUSE BLACK M360",81.4300,0.00,"MS","MOUSE","WIRED","MEETION"
"M361","MEETION WIRED USB MOUSE",75.7800,0.00,"MS","MOUSE","WIRED","MEETION"
"M365PERS-ESD","MICROSOFT 365 PERSONAL ESD - 1YR SUBSCRI",1423.7500,0.00,"SW","SOFTWARE","","MICROSOFT"
"M3H4-V1-SV","ORICO 4 PORT  USB3.0 ALUMINUM HUB",445.3400,0.00,"HUB","HUBS/DOCS","USB","ORICO"
"M4201LABEL","DIRECT THERMAL LABEL 100*100 FOR M4201",141.4300,0.00,"POS","POINT OF SALE","",""
"M44082","VERBATIM MICRO SD SDHC CLASS 10 16GB CAR",120.8800,0.00,"FS","FLASH DRIVES AND SD CARDS","",""
"M44083","VERBATIM MICRO SD SDHC CLASS 10 32GB CAR",278.4000,0.00,"FS","FLASH DRIVES AND SD CARDS","",""
"M44084","VER MICRO SD SDHC CLASS 10 64GB CARD + A",232.7200,0.00,"FS","FLASH DRIVES AND SD CARDS","",""
"M44085","VERBATIM PREMIUM 128GB",767.9400,0.00,"FS","FLASH DRIVES AND SD CARDS","",""
"M461M2NVME401TB","SPATIUM M461 PCIE 4.0 NVME M.2 1TB",1166.6700,0.00,"HDD","HARD DRIVES","NVME","MSI"
"M471A1G44BB0","SAMSUNG 8GB DDR4 3200 SODIMM",748.7500,0.00,"MEM","MEMORY","",""
"M480PROM2NVME1TB","MSI SSD M480 PRO M.2 NVME 1TB",2643.5900,0.00,"SSD","SSD DRIVES","NVME1T","MSI"
"M49019","VERBATIM OPTICAL DESKTOP MOUSE",159.3600,0.00,"MS","MOUSE","",""
"M49042","VERBATIM GO NANO WIRELESS MOUSE BLACK",263.5600,0.00,"MS","MOUSE","",""
"M49967","VERBATIM DUAL DRIVE USB-C/USB-A 64GB",263.3200,0.00,"FS","FLASH DRIVES AND SD CARDS","USB64","VERBATIM"
"M515DA-382G3W","ASUS R3 8GB 256GB SSD WIN 11H",6316.2500,0.00,"ONB","NOTEBOOKS & TABLETS","","ASUS"
"M515DA-78512G0W","ASUS 15.6 RYZEN 7, 8GB, 512GB, WIN11H",8611.9500,0.00,"ONB","NOTEBOOKS & TABLETS","RYZEN7","ASUS"
"M515DA-78512G0W-1","ASUS,R7-3700U,16GB,512GB SSD,WIN11H",9405.6400,0.00,"ONB","NOTEBOOKS & TABLETS","",""
"M69812","SMARTDISK MOBILE USB 3.2 1TB EXTERNAL",808.0000,0.00,"HDD","HARD DRIVES","HDDEXT","SMARTDIS"
"M7200","TP-LINK 4G 2000MAH T-FDD-LTE MOBILE WIFI",1192.5000,0.00,"MOD","MODEMS/ROUTERS","LTE","TP-LINK"
"MAG 244C","MSI MAG 244C 24-INCH FHD 1500R CURVED GA",3528.4900,0.00,"MON","MONITORS/PROJECTORS","24""","MSI"
"MAG A500N-H","MSI POWER SUPPLY, 500W NON-RATED",734.4500,0.00,"PSU","POWER SUPPLY UNITS","500W","MSI"
"MAG A550BN","MSI POWER SUPPLY, 550W 80+ BRONZE RATED",982.9100,0.00,"PSU","POWER SUPPLY UNITS","550W","MSI"
"MAG A750BN PCIE5","MSI POWER SUPPLY, 750W 80+ BRONZE RATED",1570.0000,0.00,"PSU","POWER SUPPLY UNITS","750W","MSI"
"MAG A850GL","MSI POWER SUPPLY,MAG A850GL PCIE5 80+ GO",2424.2900,0.00,"PSU","POWER SUPPLY UNITS","850W","MSI"
"MAG CORELIQUID C240","MSI MAG CORELIQUID C240 AIO LIQUID COOLE",1401.2500,0.00,"CLR","COOLERS","CPU","MSI"
"MAG CORELIQUID C360","MSI MAG CORELIQUID C360 AIO LIQUID COOLE",1725.9900,0.00,"CLR","COOLERS","CPU","MSI"
"MAG FORGE 130A AIRFLOW","MSI MAG FORGE 130A AIRFLOW ATX GAMING CH",874.2900,0.00,"CS","CASES","","MSI"
"MAG FORGE 320R AIRFLOW","MSI CHASSIS MAG FORGE 320R AIRFLOW ATX",2517.5000,0.00,"CS","CASES","",""
"MAG FORGE M100A","MSI CHASSIS FORGE M100A MATX",898.6800,0.00,"CS","CASES","CS","MSI"
"MAG FORGE M100A WHITE","MSI MAG FORGE M100R WHITE GAMING CASE",1156.1800,0.00,"CS","CASES","","MSI"
"MAG SHIELD 110R","MSI CHASSIS SHIELD 110R ATX",1111.2500,0.00,"CS","CASES","","MSI"
"MAG-A650BN","MSI POWER SUPPLY, 650W 80+ BRONZE RATED",1175.6700,0.00,"PSU","POWER SUPPLY UNITS","650W","MSI"
"MAG-FORGE-100R","MSI FORGE 100R ATX CHASSIS",1176.2500,0.00,"CS","CASES","","MSI"
"MAG275CQRF-QD","MSI MAG275CQRF QD CURVED GAMING MONITOR",7498.7500,0.00,"MON","MONITORS/PROJECTORS","MON","MSI"
